# Wavelength[Angstrom] Flux_16[erg/s/cm^2/A] Flux_22[erg/s/cm^2/A] Flux_30[erg/s/cm^2/A] Flux_40[erg/s/cm^2/A]
2.500000000000000000e+04 5.097972200344425827e-16 1.958920586634491527e-16 9.384098278353651129e-17 7.174730890637081770e-17
2.487809732311672633e+04 5.260547370169650590e-16 1.983546983768229153e-16 8.777625539608670531e-17 6.797282357820127548e-17
2.475737769855417355e+04 5.250354755286044259e-16 1.970703003735973862e-16 9.175870275923537009e-17 6.982107219859251613e-17
2.463782398738543634e+04 5.378241732541762382e-16 2.054210374708033987e-16 8.822650968095025376e-17 7.083479974310057602e-17
2.451941938014907646e+04 5.372613165570776532e-16 1.979911698269161274e-16 8.820511332092069309e-17 7.254617205567507073e-17
2.440214738897022835e+04 5.473968552673471841e-16 1.968958958212877764e-16 9.535500206013952648e-17 7.100860028935747084e-17
2.428599183990674646e+04 5.534905952147834922e-16 1.875688474665581592e-16 9.029545098835753086e-17 7.095539905780346818e-17
2.417093686551290739e+04 5.358573684631876035e-16 1.614514075870593635e-16 6.113036035433122656e-17 4.243987561946663681e-17
2.405696689761355083e+04 5.230205617858501035e-16 1.338650719656814778e-16 4.306443689800317140e-17 3.312777530254982168e-17
2.394406666028158361e+04 5.295180255841990632e-16 1.442803570512619559e-16 4.756404412765469872e-17 4.944778886559964487e-17
2.383222116301239294e+04 5.187690764241391864e-16 1.638923720713804672e-16 7.321674988586040881e-17 6.363642977880750577e-17
2.372141569408862415e+04 5.175300651568004409e-16 1.815741900678998417e-16 8.566426234523016668e-17 8.299716396941534802e-17
2.361163581412920394e+04 5.450429569796565372e-16 1.823818389704100361e-16 9.652998846948631518e-17 8.466025631057956970e-17
2.350286734981668269e+04 5.557678812328674629e-16 2.010810276036749282e-16 9.975319773397112531e-17 8.492269748644951669e-17
2.339509638779711895e+04 5.735760241936280291e-16 2.164742682688043297e-16 1.101573022286265650e-16 8.276860575864560147e-17
2.328830926874709257e+04 6.090070573179887335e-16 2.124651649181003987e-16 1.055386251798102171e-16 8.055140222216453645e-17
2.318249258160237878e+04 6.163898643352113036e-16 1.828218975445626630e-16 6.822843409740054974e-17 4.100597843817948319e-17
2.307763315794332448e+04 6.066680078596111371e-16 1.589680615227563756e-16 5.006134445217856877e-17 3.499492136544111384e-17
2.297371806653188833e+04 6.056500464295593181e-16 1.778006214429511979e-16 6.008608118211459621e-17 6.113643788325866015e-17
2.287073460799560780e+04 6.269540334317037212e-16 2.086254883360668830e-16 9.994452823485414535e-17 7.556088454278419674e-17
2.276867030965391677e+04 6.438371189449409914e-16 2.332093819359849235e-16 1.184669409854023841e-16 9.558578109891343878e-17
2.266751292048236428e+04 6.834851800512461489e-16 2.634097737962841614e-16 1.365166662800239044e-16 1.089204750455889039e-16
2.256725040621051085e+04 7.212189520214999545e-16 2.925861785909119351e-16 1.421932024062288086e-16 1.132070038653657222e-16
2.246787094454929684e+04 7.627710219944692182e-16 3.083234433518679359e-16 1.532539773350839677e-16 1.061000075384791307e-16
2.236936292054402293e+04 7.598505853728700998e-16 3.164104345878845369e-16 1.445420480349526901e-16 1.085369209412141882e-16
2.227171492204899914e+04 7.652789505958993891e-16 2.984603715493164623e-16 1.478653275119287383e-16 1.120054141918598834e-16
2.217491573532020630e+04 7.694408456782549950e-16 2.743438620699933815e-16 1.375272662678648768e-16 1.037888510696107612e-16
2.207895434072242278e+04 7.781252183767747770e-16 2.519789145965801346e-16 9.900754075195449616e-17 5.457043888682621035e-17
2.198381990854730975e+04 7.436746227454911164e-16 2.065912258310386322e-16 7.408181593476863685e-17 5.078145780503617911e-17
2.188950179493914766e+04 7.311277201586414332e-16 2.056225011121582612e-16 6.534590674653374444e-17 7.301733803553908093e-17
2.179598953792502289e+04 7.069420384107785037e-16 1.912232457519705513e-16 6.832188774618180639e-17 4.951757107387351675e-17
2.170327285354631385e+04 6.902093739674662148e-16 1.725333880555397831e-16 6.443172641001457097e-17 5.032123310879032299e-17
2.161134163208851896e+04 6.909024536497377483e-16 2.013515198408449019e-16 7.418787406323246152e-17 7.493777173606565491e-17
2.152018593440647237e+04 7.247408651056062500e-16 2.301354084174172449e-16 1.061728266643475428e-16 8.893297860235684582e-17
2.142979598834218996e+04 7.636409823694534209e-16 2.654710635456988882e-16 1.335816765571764827e-16 1.114534662612122365e-16
2.134016218523260977e+04 7.821408712128156269e-16 3.102692200048911874e-16 1.634932361843005865e-16 1.245707647539507891e-16
2.125127507650459302e+04 8.304827501405223916e-16 3.517263897403874609e-16 1.649288647168253442e-16 1.303086204194070642e-16
2.116312537035469722e+04 8.888899729747965831e-16 3.705844197513604515e-16 1.646124796519276968e-16 1.231184712314784541e-16
2.107570392851121142e+04 8.900106977438867154e-16 3.387677180204005417e-16 1.713749922802430491e-16 1.184426511238801712e-16
2.098900176307615038e+04 8.809688178420884579e-16 3.027082635977118412e-16 1.434774714609199373e-16 7.787604739316410369e-17
2.090301003344481433e+04 8.515986103688715833e-16 2.882552197310268766e-16 1.076633951081575393e-16 4.793318428766824424e-17
2.081772004330085838e+04 8.238092124044209355e-16 2.823057247209109974e-16 1.001311204336606238e-16 5.852798998099126595e-17
2.073312323768452552e+04 8.487373273797703506e-16 3.262316953277264141e-16 1.244113379432595522e-16 1.009942227280130776e-16
2.064921120013215841e+04 8.767551618357308545e-16 3.599993039068908849e-16 1.596716464958871440e-16 1.052164834461333716e-16
2.056597564988483282e+04 9.313531429918753477e-16 3.862170482250892728e-16 1.785094727228219589e-16 1.208426254894958368e-16
2.048340843916427912e+04 9.733132694051547367e-16 4.139913372822971723e-16 1.929874477087671302e-16 1.268862090429197024e-16
2.040150155051411639e+04 1.002442084140505075e-15 4.571186177686756441e-16 1.945029684818234695e-16 1.180398046823452642e-16
2.032024709420466752e+04 1.038267340380868842e-15 4.557524320826498999e-16 1.912917347447533615e-16 1.234789355134620998e-16
2.023963730569948166e+04 1.033811524158332797e-15 4.576897094394570369e-16 1.706983578683296759e-16 1.093052263997485825e-16
2.015966454318200340e+04 1.030919487841292476e-15 4.396741817775506710e-16 1.608353517814420976e-16 9.813631979273708946e-17
